Subject,Body,Attachment,Location,Author,Created At,Updated At
"Kirkland Library, Kirkland Avenue, Kirkland, WA","This is Freddi. + She likes coming to this King County Library to read new books and even sit down outside to look outside at the nearby statue and park to read. Inside it is also cozy for rainy days! + II
",https://padlet-uploads.storage.googleapis.com/1973061834/b83ece24aa996c4158bd47881f133cbf/image_67193857.JPG,"Kirkland Library, Kirkland Avenue, Kirkland, WA (47.67601750000001, -122.2029286)",Anonymous,2023-02-26 01:45:06 UTC,2023-02-26 01:45:06 UTC
"Marsh Park, Lake Washington Boulevard Northeast, Kirkland, WA","This is Freddi + She likes coming to Marsh Park to relax and look at the view of Lake Washington. Depending on the time of day the colors reflected in the Lake can range from vibrant blues to bright oranges at sunset. It's a calming place. + II.
",https://padlet-uploads.storage.googleapis.com/1973061834/d58a9c0c4ffe8ba3ae67182e0fd1b256/image_67196417.JPG,"Marsh Park, Lake Washington Boulevard Northeast, Kirkland, WA (47.6657417, -122.2072972)",Anonymous,2023-02-26 01:41:12 UTC,2023-02-26 01:41:12 UTC
"Starbucks, Southeast 208th Street, Kent, WA","Sharka + Sharka likes to come to this Starbucks in Kent WA near his home whenever he is working on a big project or assignments. AO  
",https://padlet-uploads.storage.googleapis.com/1973059578/2a18d6f54f5a32fc080fcc290308d0b8/IMG_5145.jpeg,"Starbucks, Southeast 208th Street, Kent, WA (47.41617189999999, -122.198122)",Anonymous,2023-02-25 23:57:46 UTC,2023-02-25 23:57:46 UTC
"Soos Creek Trail, Kent, WA","Sharka  + Sharka  likes going to this trail on the weekends to refresh his mind and prepare himself for the upcoming week. AO
",https://padlet-uploads.storage.googleapis.com/1973059578/071f1d1265476ce93de00db760f0747a/IMG_5149.jpeg,"Soos Creek Trail, Kent, WA (47.39040970000001, -122.1496774)",Anonymous,2023-02-25 23:51:50 UTC,2023-02-25 23:51:50 UTC
UW IMA,"Foden + Foden likes to stay active and go to the gym in his free time. Foden enjoys going to the IMA usually before or after class and loves to blast music through his headphones while lifting weights to stay fit and relieve some stress. + JH
",https://padlet-uploads.storage.googleapis.com/1974549369/972dd8a8e77539d19649f5856a2f35da/87BF844D_B95C_4F44_A509_F033C3A459AD.heic,"(47.65342771037768, -122.30195518307735) (47.65342771037768, -122.30195518307735)",Anonymous,2023-02-25 23:44:34 UTC,2023-02-25 23:44:53 UTC
"Jefferson Park Golf Course, Beacon Avenue South, Seattle, WA","Sunny + Golf is her favorite sport and made lots of friends here. She has been practicing hard for this upcoming summer season with her friends. Sharing snacks with them is her pleasure, joy, and happiness. + SL
",https://padlet-uploads.storage.googleapis.com/1973364882/8ab4dad024e4c6d63dc98d8725fec76e/IMG_6117.heic,"Jefferson Park Golf Course, Beacon Avenue South, Seattle, WA (47.5666788, -122.3072535)",Anonymous,2023-02-25 23:20:18 UTC,2023-02-25 23:21:06 UTC
"Flatstick Pub - South Lake Union, Westlake Avenue North, Seattle, WA","Sunny + Sunny loves to come to several pub places every Friday with her friends. This is one of her favorite pub places where you can play putting with lots of delicious food and lots of energy. She loves the selection of beers here. + SL
",https://padlet-uploads.storage.googleapis.com/1973364882/d732dcf53947579b4fbf319b91e80a83/IMG_6135.heic,"Flatstick Pub - South Lake Union, Westlake Avenue North, Seattle, WA (47.6251451, -122.3390421)",Anonymous,2023-02-25 23:14:51 UTC,2023-02-25 23:22:24 UTC
UW IMA Fields,"Foden + Foden loves to play soccer in his free time and is the happiest when he is on the pitch scoring goals! Anytime Foden is done with work or school he comes to the field to have fun and relieve some stress. + JH
",https://padlet-uploads.storage.googleapis.com/1974549369/edd369558ab8d0be31404694ad968013/A5EB96C7_A324_434F_95AC_D04FB60D2AD7.heic,"(47.65464951882381, -122.30012711524934) (47.65464951882381, -122.30012711524934)",Anonymous,2023-02-25 23:09:09 UTC,2023-02-25 23:22:12 UTC
"Denny Yard, Seattle, WA","Chelsea + Today, Chelsea spent some time outside the new business building, people watching. Don’t be deceived by the sunshine. It was really cold. + MBH
",https://padlet-uploads.storage.googleapis.com/1973105880/34e12767713d6bb5edb1cfbd0bf0efce/IMG_1851.jpg,"(47.65847146017415, -122.3075576100143) (47.65847146017415, -122.3075576100143)",Anonymous,2023-02-25 22:37:49 UTC,2023-02-27 21:33:50 UTC
"University District Farmers Market, University Way NE, Seattle, WA","Chelsea + Chelsea loves the u-district farmers market. Especially when it’s sunny. She’s tight with the tuna lady and likes getting samosas and chai. There’s also always cute dogs. + MBH
",https://padlet-uploads.storage.googleapis.com/1973105880/8340d7056c3f5ff20b272ff6c14b4f4f/IMG_1852.jpg,"University District Farmers Market, University Way NE, Seattle, WA (47.6661257, -122.3137354)",Anonymous,2023-02-25 22:36:25 UTC,2023-02-26 07:00:31 UTC
"Seattle Ferry Terminal, Seattle, WA","Axel + Axel loves the wonderful blast of fresh air and incredible views that one experiences while taking a ferry trip in Seattle. Axel is steadfast in his belief that Seattle’s ferry systems are the most invigorating form of transportation! Just remember to keep a tight grip on that hat… + AK
",https://padlet-uploads.storage.googleapis.com/1973105787/31d96a850f680e0257d926a2dc76077a/Lab4Image.png,"Seattle Ferry Terminal, Seattle, WA (47.6023189, -122.3378381)",Anonymous,2023-02-25 20:41:09 UTC,2023-02-26 07:02:31 UTC
Axel's Apartment,"Axel + There are few things in this world that Axel finds more relaxing than brewing tea with his fellow balloons. Daily tea sessions are a highlight of Axel’s routine, and he has met many new balloons throughout his tea endeavors. Home is where the heart is, and the heart is with the tea set. + AK
",https://padlet-uploads.storage.googleapis.com/1973105787/921f8287ea016fd859e50521708fca92/IMG_20230223_142516252.jpg,"(47.66526327400358, -122.3137494578825) (47.66526327400358, -122.3137494578825)",Anonymous,2023-02-25 20:38:48 UTC,2023-02-27 21:36:46 UTC
"Google Building C, 6th Street South, Kirkland, WA","Pagliacci the Clown + The ""Man bursts into tears. Says, 'But doctor....I am Pagliacci.'"" Google is amazing. The most happiest of places. They provide information services to the entire world, all connected on the worldwide web. And if someone isn't happy, then Google surely knows how to help them find it. Just Google it! + HN
",https://padlet-uploads.storage.googleapis.com/1974188473/4fa35f67d04f5faf5e256525180d50b3/Google.jpeg,"Google Building C, 6th Street South, Kirkland, WA (47.6705079, -122.1977269)",Anonymous,2023-02-25 04:57:35 UTC,2023-02-25 04:57:35 UTC
"Husky Union Bldg (HUB), East Stevens Way Northeast, Seattle, WA","Pagliacci the Clown + ""Man goes to doctor. Says he's depressed. Says life seems harsh and cruel. Doctor says, 'Treatment is simple. Great clown Pagliacci is in town tonight. Go and see him. That should pick you up.'""(Watchmen). The Husky Union Bldg is a happy place because many people go there. Mayhap, Pagliacci will be there one day and make it happier. + HN
",https://padlet-uploads.storage.googleapis.com/1974188473/d7f30abd381be8cbcf60a0dec4efefa2/HUB.jpeg,"Husky Union Bldg (HUB), East Stevens Way Northeast, Seattle, WA (47.6553893, -122.3050844)",Anonymous,2023-02-25 04:50:19 UTC,2023-02-25 04:50:19 UTC
"(47.3946, -122.190)","Mi + Home always brings a sense of peace and safety to Mi. Home is the place where Mi spend most of time with, and it’s the place where Mi is most familiar with. This place helps Mi relax from any busy work days. Mi often wake up very late during weekends. + LF
",https://padlet-uploads.storage.googleapis.com/1970866429/afc9bb2d657c673140c87338c73a0495/IMG_1962.JPG,"Bridges@11th, 11th Avenue Northeast, Seattle, WA (47.66245729999999, -122.3167637)",Anonymous,2023-02-25 02:26:29 UTC,2023-02-27 22:16:35 UTC
"(47.396, -122.1853)","Mi + Mi enjoys the silence and peace from nature. Mi found this place by chance because one of his classes was nearby. Feeling the wind and sound from the sea, he quickly fell in love with this place. When the sky is getting dim, the lights from the boats and buildings across the sea really attract him. + LF
",https://padlet-uploads.storage.googleapis.com/1970866429/be5f009edaa0295cebef316c86537c62/IMG_1960.JPG,"Fritz Hedges Waterway Park, Northeast Boat Street, Seattle, WA (47.6520661, -122.3159908)",Anonymous,2023-02-25 02:19:34 UTC,2023-02-27 22:17:02 UTC
"Golden Gardens Park, Seattle, WA 98117, USA","Jon + Jon likes to take time to step away from everything and enjoy looking at a wonderful view with great company. When the weather is nice and sunny, Jon enjoys going to Golden Gardens park to get away from work or homework and just enjoy some time with friends or family. + ER
",https://padlet-uploads.storage.googleapis.com/1973062938/8ad242470aa1ed3021b69b5fbfe6b7ae/D2D2CFCC_CCA2_418C_B2A6_8BA46582EC12_1_201_a.jpeg,"Golden Gardens Park, 8498 Seaview Pl NW, Seattle, WA 98117, USA (47.690540853288404, -122.40368680467719)",Anonymous,2023-02-25 00:12:18 UTC,2023-02-25 00:12:18 UTC
UW IMA Field,"Jon + Jon enjoys going to the UW IMA because he likes to stay active and exercise helps him relieve stress and puts him in a happy mood after having a great workout. Jon especially enjoys playing soccer outside when the weather is nice as it is his favorite sport and soccer always helps him feel better when he is dealing with anything. + ER
",https://padlet-uploads.storage.googleapis.com/1973062938/09e4ee6388253433830f5b1e26763bc1/FA55D823_2946_424A_A12F_B7DF733ED19C_1_201_a.jpeg,"(47.65439943595604, -122.30086073332174) (47.65439943595604, -122.30086073332174)",Anonymous,2023-02-25 00:07:08 UTC,2023-02-25 00:07:44 UTC
"Boba Gem Tea House, University Way NE, Seattle, WA","Walter + Whenever Walter and friends want to hangout they usually go to Boba Gem. Not only do they have drinks, but they also have a lot of board and card games. Boba Gem is a great place for relaxing and having fun. + OR
",https://padlet-uploads.storage.googleapis.com/1973070149/dd019bb1c482dc56735594d21c4a66b0/IMG_9618.HEIC,"Boba Gem Tea House, University Way NE, Seattle, WA (47.6587595, -122.3135414)",Anonymous,2023-02-24 22:21:02 UTC,2023-02-24 22:21:02 UTC
"4609 Village, Terrace Dr NE, Seattle, WA 98105, USA","Chipotle, Uvillage. Mr. Balloon Guy visited Chipotle to consume a burrito because it has solid macros and is tasty. JS
",https://padlet-uploads.storage.googleapis.com/1974039193/9e227dfcccb45cbef42d29e4e74f035d/IMG_7858.JPG,"4609 Village, Terrace Dr NE, Seattle, WA 98105, USA (47.66195959138348, -122.29854970963508)",Anonymous,2023-02-24 20:10:56 UTC,2023-02-24 20:10:56 UTC
"North SeaTac Park & Ball Fields, Des Moines Memorial Drive South and, S 128th St, SeaTac, WA 98168, USA","Seatac Disc Golf Course, visited by Mr. Balloon guy because playing disc golf is awesome and it made him smile. JS
",https://padlet-uploads.storage.googleapis.com/1974039193/1e8236c698e93d441159f4456b8bd29d/IMG_7859.JPG,"North SeaTac Park & Ball Fields, Des Moines Memorial Drive South and, S 128th St, SeaTac, WA 98168, USA (47.48666545539636, -122.30695081939598)",Anonymous,2023-02-24 20:09:20 UTC,2023-02-24 20:09:20 UTC
"4522 18th Ave NE, Seattle, WA 98105, USA","Andrew + This is Andrew's fraternity that he lived in for most of college. Although he no longer lives here, he made a lot of great friends here that he still enjoys hanging out with. + HP
",https://padlet-uploads.storage.googleapis.com/1973060127/9b12dc1cd9d0ae0fe43b0675241891b3/tx.jpg,"4522 18th Ave NE, Seattle, WA 98105, USA (47.662015574022455, -122.30811956289965)",Anonymous,2023-02-24 17:22:22 UTC,2023-02-27 21:47:43 UTC
"University of Washington Intramural Activities Building (IMA), Montlake Boulevard Northeast, Seattle, WA","Andrew + Andrew enjoys going to the UW IMA because exercise makes him feel good. He also enjoys going to the IMA because he can play basketball or lift weights with his friends there. + HP
",https://padlet-uploads.storage.googleapis.com/1973060127/9994dc0de1d5ba86a6ed613cf3003c46/ima.jpg,"University of Washington Intramural Activities Building (IMA), Montlake Boulevard Northeast, Seattle, WA (47.6535921, -122.3015799)",Anonymous,2023-02-24 17:18:27 UTC,2023-02-27 21:47:30 UTC
The Spheres,"Emily + Emily had always been fascinated by plants, so when she heard that The Spheres housed many rare species, she knew she had to go and check it out. She spent a delightful Saturday morning there with her good friends and enjoyed a great cup of coffee. She felt very happy. + YS
",https://padlet-uploads.storage.googleapis.com/1973063347/4428cdffb2b7aca27ca6eb72fe1cc74c/IMG_3594.JPG,"The Spheres, 7th Avenue, Seattle, WA (47.6158918, -122.3393657)",Anonymous,2023-02-24 07:43:39 UTC,2023-02-24 07:50:15 UTC
Chihuly Garden and Glass,"Emily + That was Emily's first week in Seattle, and Chihuly Garden &amp; Glass was the first place she explored. As she explored the garden and the indoor galleries, Emily was amazed by the creativity and skill of the artist and his team. She found the joy of appreciating art there. + YS
",https://padlet-uploads.storage.googleapis.com/1973063347/3f7bdd462ce0d3e37ec4f53d59a7de2e/IMG_3571.JPG,"Chihuly Garden and Glass, Harrison Street, Seattle, WA (47.6205599, -122.3504476)",Anonymous,2023-02-24 07:31:00 UTC,2023-02-24 07:50:43 UTC
University of Washington Intramural Activities Building (IMA),"Chanel + After classes, Chanel loves to go to the IMA to relieve some stress. Chanel likes feeling and looking good while using the machines. This ones good for cardio! + ST
",https://padlet-uploads.storage.googleapis.com/1973065114/2db23378486800a905d9061f693206fa/IMG_1445.HEIC,"University of Washington Intramural Activities Building (IMA), Montlake Boulevard Northeast, Seattle, WA (47.6535921, -122.3015799)",Anonymous,2023-02-23 23:17:59 UTC,2023-02-24 20:04:47 UTC
Suzzallo Library,"Chanel + If on campus, Chanel feels the most productive floating inside beautiful architecture. Chanel is the most happiest here reading and catching up on assignments. + ST
",https://padlet-uploads.storage.googleapis.com/1973065114/b997119627b04c8d2bdb3eadc5b420e1/IMG_1438.HEIC,"Suzzallo Library, Seattle, WA (47.6558268, -122.3080861)",Anonymous,2023-02-23 23:12:55 UTC,2023-02-24 20:04:34 UTC
"Greenlake, Seattle, WA","Walter + It was a nice and hot summer day.  Walter and his friends decided to go to green lake and swim and play volleyball. Walter crushed his friends and they also went kayaking. Green lake is the perfect place for outdoor activities. + OR
",https://padlet-uploads.storage.googleapis.com/1973070149/5c42746cd0b3370115bda731f97e0c26/IMG_9600.HEIC,"Greenlake, Seattle, WA (47.6798338, -122.3257826)",Anonymous,2023-02-23 21:43:39 UTC,2023-02-24 10:47:15 UTC
"Kinokuniya Seattle, WA","Steven +  Steven finds happiness from browsing the fine collection of anime and manga at his favorite book store in Chinatown. Here he is posing and smiling next to two of his favorite series, can you guess which ones? + SKD
",https://padlet-uploads.storage.googleapis.com/1973105714/8f4f35eff88ab9189ed525b858e11a83/IMG_4180.jpg,"Kinokuniya Seattle, South Weller Street, Seattle, WA (47.59742459999999, -122.3265375)",Anonymous,2023-02-23 21:03:09 UTC,2023-02-27 21:36:05 UTC
Tea Republik,"Steven + Steven enjoys his job working at this tea shop, building relationships with customers/coworkers, and making money + SKD
",https://padlet-uploads.storage.googleapis.com/1973105714/ea8251b35cf698c865f0c57e8dda96bf/IMG_4175.jpg,"Tea Republik, University Way NE, Seattle, WA (47.6621033, -122.3132578)",Anonymous,2023-02-23 20:57:40 UTC,2023-02-27 21:36:18 UTC
"Seven Coffee Roasters Market & Cafe, Northeast Ravenna Boulevard, Seattle, WA","Berry always walks here with friends when it is sunny out. This is great coffee shop to study and is a convenient distance from Berry's house +GH 
",https://padlet-uploads.storage.googleapis.com/1973059826/4607a242abcef241d307f9217577776e/IMG_4769.jpg,"Seven Coffee Roasters Market & Cafe, Northeast Ravenna Boulevard, Seattle, WA (47.6691105, -122.3060618)",Anonymous,2023-02-23 20:01:26 UTC,2023-02-23 23:09:26 UTC
"Trader Joe's, Roosevelt Way Northeast, Seattle, WA","Berry loves to come to Trader Joe's because it is close to campus and there are always so many good snacks and his favorite meal is here (chicken soup dumplings) + GH
",https://padlet-uploads.storage.googleapis.com/1973059826/c2d82ff91a1f681e0a2b833010415e82/IMG_7199.jpg,"Trader Joe's, Roosevelt Way Northeast, Seattle, WA (47.66268549999999, -122.3177437)",Anonymous,2023-02-23 19:56:37 UTC,2023-02-23 23:13:23 UTC
"IMA Sports Field, Seattle, WA","Gary + Gary is an active guy. Growing up watching players like Rafael Nadal and Roger Federer, Gary likes playing tennis to keep his mind and body sharp. + BS
",https://padlet-uploads.storage.googleapis.com/1972969516/aa91162205d74db7ddff5cccf4f9d630/tennis.png,"IMA Sports Field, Seattle, WA (47.6548594, -122.3006859)",Anonymous,2023-02-23 18:03:58 UTC,2023-02-23 23:15:12 UTC
"Gas Works Park, North Northlake Way, Seattle, WA","Gary + Gary is amazed at the view at Gas Works Park. He enjoys sightseeing around Seattle, especially when there aren't many visitors as he can take in the scenery in full. + BS
",https://padlet-uploads.storage.googleapis.com/1972969516/4750747dd3464723f2a45bad4dbb9749/gasworks.png,"Gas Works Park, North Northlake Way, Seattle, WA (47.6456308, -122.3343532)",Anonymous,2023-02-23 18:00:12 UTC,2023-02-23 23:06:40 UTC
"(47.651672, -122.314924)","Ben + Ben the balloon is happy visiting Sakuma Viewpoint. This spot is great for catching sunset and watching boats pass by. Ben enjoys walking the beach and being by the water. + BO
",https://padlet-uploads.storage.googleapis.com/1972089269/115eb44ffae1688a23f46f33ed86a32f/IMG_6586.heic,"Sakuma Viewpoint, Seattle, WA (47.65167290000001, -122.3148894)",Anonymous,2023-02-22 22:42:18 UTC,2023-02-23 23:08:19 UTC
"(47.656188, -122.306682)","Ben + Ben the balloon is happy relaxing in Grieg Garden. 
This garden has benches to sit and relax inbetween classes.
The garden provides a brief shelter from the busy campus. + BO
",https://padlet-uploads.storage.googleapis.com/1972089269/09357cf75d9994e9bfd7671ffb57cd3a/IMG_6581.HEIC,"Grieg Garden, Seattle, WA (47.65615649999999, -122.3066362)",Anonymous,2023-02-22 22:41:27 UTC,2023-02-22 22:45:44 UTC
"Ferdinand Street Boat Launch (hand carry only), Lake Washington Boulevard South, Seattle, WA","Summer + It was a beautiful summer afternoon when I went on a picnic with my family and friends. The place was not crowded and had a good spot for playing in the water. We got to enjoy swimming, kayaking, paddle boarding, and relaxing that day. + GO
",https://www.goodfreephotos.com/albums/other-photos/smiley-face-balloon.jpg,"Ferdinand Street Boat Launch (hand carry only), Lake Washington Boulevard South, Seattle, WA (47.5575972, -122.2622458)",Gunwha Oh (gunwhaoh),2023-02-21 01:07:57 UTC,2023-02-23 22:51:13 UTC
